X,Y,X2,Y2
0, -5.04135905692417, 0, 5.0184649433561
2.5, -4.91731850813018, 2.5, 5.27685959268215
5, -4.45266314658926, 5, 5.81437064628786
7.5, -3.87303874542613, 7.5, 6.51022475040994
10, -3.00101110255393, 10, 7.49921246878766
12.5, -2.17980725503518, 12.5, 8.41941631823751
15, -1.67332229254456, 15, 9.09826907222079
17.5, -1.10537158549082, 17.5, 9.89500750098145
20, -0.6145459544447, 20, 10.6633345249404
22.5, 0.120028106039404, 22.5, 11.6249613445368
25, 1.06357270435597, 25, 12.8816391467497
27.5, 1.87301405606466, 27.5, 13.9665185705603
30, 2.57569854952195, 30, 14.8501816818724
32.5, 3.59165537664278, 32.5, 16.0683128022441
35, 4.87991958133872, 35, 17.5378799723172
37.5, 6.36214537958714, 37.5, 19.1262752954039
40, 7.62564585126268, 40, 20.4103953650735
42.5, 8.69606320261772, 42.5, 21.5430627723891
45, 10.0118704438265, 45, 22.9105459463366
47.5, 11.0434480519236, 47.5, 23.9802361888719
50, 11.9794171576758, 50, 24.8659461235003
52.5, 12.9591851832621, 52.5, 25.7303194442439
55, 14.172107889304, 55, 26.7688545912359
57.5, 15.5520057698488, 57.5, 28.0545112571933
60, 17.2274942386092, 60, 29.7036634266394
62.5, 18.6983982186757, 62.5, 31.2273634344467
65, 20.4560332001448, 65, 33.1038196356519
67.5, 22.4867327382261, 67.5, 35.2639893610328
70, 24.5319674302041, 70, 37.434293559489
72.5, 26.600547815813, 72.5, 39.7109359368267
75, 28.5210891459701, 75, 41.7573881676222
77.5, 30.6793080755413, 77.5, 44.0460374479862
80, 33.0546651200646, 80, 46.5098714746581
82.5, 35.3256065179713, 82.5, 48.7754012129155
85, 37.6336074839968, 85, 51.1619816926597
87.5, 40.2012266359763, 87.5, 53.9036778414639
90, 42.8923555399256, 90, 56.7448825012636
92.5, 45.8665211907432, 92.5, 59.9294987878434
95, 48.8200195945427, 95, 63.0148831289797
97.5, 51.8304284402311, 97.5, 66.0721745989622
100, 54.6969868542147, 100, 68.8980036274521
102.5, 57.7047292990632, 102.5, 71.7719322611447
105, 60.4216644602929, 105, 74.4206055336728
107.5, 62.926258762519, 107.5, 76.816198386632
110, 65.1829734629407, 110, 79.0040432726983
112.5, 67.2365592083133, 112.5, 80.9617606926066
115, 69.5713628691022, 115, 83.1345574620341
117.5, 71.7267046705944, 117.5, 85.0701022046479
120, 73.633463102781, 120, 86.8557530286516
122.5, 75.4660150158061, 122.5, 88.5673387745243
125, 77.5669292504745, 125, 90.6003321543338
127.5, 79.564218544664, 127.5, 92.439864576254
130, 81.8631309028078, 130, 94.5383744861178
132.5, 83.9698189969034, 132.5, 96.4600166864507
135, 86.3847886532009, 135, 98.6091052949006
137.5, 88.5559348267764, 137.5, 100.496459351478
140, 91.0455050418365, 140, 102.705767030085
142.5, 93.6964157585504, 142.5, 105.009994476992
145, 96.284336864941, 145, 107.31287026052
147.5, 98.7508602689723, 147.5, 109.584842542272
150, 100.904510594255, 150, 111.641435600837
152.5, 103.266136681506, 152.5, 113.988459973544
155, 105.780951269521, 155, 116.50349048027
157.5, 108.032859257065, 157.5, 118.753612704274
160, 110.035478448093, 160, 120.801728924085
162.5, 112.10655731615, 162.5, 122.902486914165
165, 114.37480786097, 165, 125.104391935796
167.5, 116.403992550869, 167.5, 127.06056966547
170, 118.61663988727, 170, 129.217086578495
172.5, 120.538730287384, 172.5, 131.151968896274
175, 122.515721057177, 175, 133.159906275133
177.5, 124.474386629124, 177.5, 135.065263957561
180, 126.448283293214, 180, 137.041870026822
182.5, 128.373811322299, 182.5, 138.937477489811
185, 130.33627914667, 185, 140.776914926282
187.5, 132.487933658477, 187.5, 142.786975776398
190, 134.716989778456, 190, 144.862762377347
192.5, 136.817287595392, 192.5, 146.89654967049
195, 139.216488664698, 195, 149.204343821204
197.5, 141.50803227574, 197.5, 151.369748673527
200, 143.539586683614, 200, 153.324438580137
202.5, 145.535911545221, 202.5, 155.173148715344
205, 147.516964978686, 205, 157.0501827528
207.5, 149.592416731684, 207.5, 159.109122278359
210, 151.600983566512, 210, 161.044446932778
212.5, 153.498210993362, 212.5, 162.942364031841
215, 155.512606828247, 215, 164.966769883021
217.5, 157.426564302774, 217.5, 166.89711806788
220, 159.364474964172, 220, 168.906874949069
222.5, 161.152806492128, 222.5, 170.85692034995
225, 162.679069434562, 225, 172.602125010408
227.5, 163.893622036741, 227.5, 173.964258466598
230, 165.475827621238, 230, 175.629908385654
232.5, 167.303960444734, 232.5, 177.495778359378
235, 169.259393394952, 235, 179.432933300749
237.5, 171.265193646758, 237.5, 181.400180771342
240, 173.074304345192, 240, 183.232300309899
242.5, 174.975492766814, 242.5, 185.225502661441
245, 176.684088218484, 245, 186.979590140413
247.5, 178.406887247603, 247.5, 188.816640077725
